datetime,q,c,datetime_MST
2024-11-04 05:14:00,-0.13793310442344353,0.011008440903117114,2024-11-03 22:14:00
2024-11-04 05:29:00,-0.13568093332085163,0.010990905829089206,2024-11-03 22:29:00
2024-11-04 05:44:00,-0.1334802801806251,0.010973836086689505,2024-11-03 22:44:00
2024-11-04 05:59:00,-0.1313493377786604,0.010957107399137639,2024-11-03 22:59:00
2024-11-04 06:14:00,-0.12927591418603,0.010940597761120835,2024-11-03 23:14:00
2024-11-04 06:29:00,-0.12724912399015162,0.010924170296499737,2024-11-03 23:29:00
2024-11-04 06:44:00,-0.1252593620414513,0.010907682524416637,2024-11-03 23:44:00
2024-11-04 06:59:00,-0.12329833708369811,0.010890994823377853,2024-11-03 23:59:00
2024-11-04 07:14:00,-0.121359198907688,0.010874154846194877,2024-11-04 00:14:00
2024-11-04 07:29:00,-0.11943668178191424,0.010857447228419224,2024-11-04 00:29:00
2024-11-04 07:44:00,-0.11752757044166831,0.01084096793402797,2024-11-04 00:44:00
2024-11-04 07:59:00,-0.11563170810902453,0.010824717429540824,2024-11-04 00:59:00
2024-11-04 08:14:00,-0.11375257633266635,0.010808637575059404,2024-11-04 01:14:00
2024-11-04 08:29:00,-0.11189754633987133,0.010792635529180344,2024-11-04 01:29:00
2024-11-04 08:44:00,-0.11007790382828563,0.010776601707319275,2024-11-04 01:44:00
2024-11-04 08:59:00,-0.10830871578909029,0.010760602443262735,2024-11-04 01:59:00
2024-11-04 09:14:00,-0.1066080192301331,0.010744934731724453,2024-11-04 02:14:00
2024-11-04 09:29:00,-0.1049635449759327,0.010729713692440947,2024-11-04 02:29:00
2024-11-04 09:44:00,-0.10336648822047381,0.010714948429985296,2024-11-04 02:44:00
2024-11-04 09:59:00,-0.10181185460211746,0.010700488928585054,2024-11-04 02:59:00
2024-11-04 10:14:00,-0.10029849367545454,0.010685941041825561,2024-11-04 03:14:00
2024-11-04 10:29:00,-0.09882984659357154,0.010671161292498175,2024-11-04 03:29:00
2024-11-04 10:44:00,-0.09741416574760792,0.010656291293628465,2024-11-04 03:44:00
2024-11-04 10:59:00,-0.09606435183378809,0.010641310872976864,2024-11-04 03:59:00
2024-11-04 11:14:00,-0.09479828883385,0.010626145477622787,2024-11-04 04:14:00
2024-11-04 11:29:00,-0.09360549687050643,0.010610908205036476,2024-11-04 04:29:00
2024-11-04 11:44:00,-0.09248125638155057,0.010595953346528766,2024-11-04 04:44:00
2024-11-04 11:59:00,-0.09142656296301586,0.010581437757408947,2024-11-04 04:59:00
2024-11-04 12:14:00,-0.09044910786761833,0.010567432157608877,2024-11-04 05:14:00
2024-11-04 12:29:00,-0.08956327055474458,0.0105539702304023,2024-11-04 05:29:00
2024-11-04 12:44:00,-0.08878962102462513,0.010541271561452799,2024-11-04 05:44:00
2024-11-04 12:59:00,-0.08812065917138279,0.010529816418485147,2024-11-04 05:59:00
2024-11-04 13:14:00,-0.08755401065430463,0.010519803523901644,2024-11-04 06:14:00
2024-11-04 13:29:00,-0.0870935365922459,0.010511349851523766,2024-11-04 06:29:00
2024-11-04 13:44:00,-0.08675016874534422,0.01050486198708506,2024-11-04 06:44:00
2024-11-04 13:59:00,-0.08654040139453224,0.01050057445813703,2024-11-04 06:59:00
